排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
1,openclaw/openclaw,https://github.com/openclaw/openclaw,AI Agent,280908,386471,2025-11-24,个人 AI Agent 操作系统,跨平台执行邮件/文件/自动化等日常任务
2,obra/superpowers,https://github.com/obra/superpowers,AI Agent,229348,272819,2025-10-09,Agent 化软件开发方法论与技能框架,用 Agent 方式组织与落地软件开发
3,mattpocock/skills,https://github.com/mattpocock/skills,AI Agent,206621,219309,2026-02-03,面向工程师的 Agent 技能合集,为编程 Agent 提供工程最佳实践技能
4,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,AI Agent,205070,231521,2025-07-22,可成长的通用 AI Agent,多场景自主任务执行与协作
5,affaan-m/ECC,https://github.com/affaan-m/ECC,AI Agent,199652,240495,2026-01-18,Agent harness 性能优化系统,提升 Agent 编排效率与技能执行
6,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,AI Agent,132285,132285,2026-08-13,DeepSeek 开源 Agent 插件化框架,用插件机制组织与扩展 AI Agent 能力
7,anthropics/skills,https://github.com/anthropics/skills,AI Agent,130491,169761,2025-09-22,Anthropic 官方 Agent Skills 仓库,为 Claude 等 Agent 提供可复用技能
8,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,AI Agent,127059,145815,2025-10-13,一站式 AI 代理工作流工具,从前端到部署的代理任务编排
9,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,AI Agent,104093,104093,2026-06-12,让 Agent 像资深工程师般省 token 的技能,减少 Agent 冗余输出
10,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,AI Agent,97380,117347,2025-11-30,提供设计智能的 AI 技能,用 AI 生成产品级 UI/UX
11,odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus,AI Agent,85482,85482,2026-05-31,自托管 AI 工作空间,在本地搭建可自主完成任务的 AI 工作区
12,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,AI Agent,80777,87763,2026-02-15,面向 AI 编程 Agent 的生产级工程技能,提升 Agent 代码质量
13,earendil-works/pi,https://github.com/earendil-works/pi,AI Agent,79976,91497,2025-08-09,统一 LLM API+Agent 循环+TUI 工具包,快速搭建 Agent 应用
14,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,AI Agent,74966,98508,2024-12-28,多 Agent LLM 金融交易框架,自动化量化交易决策
15,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,AI Agent,73108,77115,2026-02-19,给 AI 提供审美品味的技能,避免 AI 生成「土味」设计
16,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,AI Agent,72693,90916,2025-08-31,跨会话持久化 Agent 记忆,让 Agent 记住历史上下文
17,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,AI Agent,67855,72318,2026-02-24,让 Agent 读取全网内容的工具,给 Agent 联网阅读能力
