排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
1,openclaw/openclaw,https://github.com/openclaw/openclaw,AI Agent,280197,385706,2025-11-24,个人 AI Agent 操作系统,跨平台执行邮件/文件/自动化等日常任务
2,obra/superpowers,https://github.com/obra/superpowers,AI Agent,226487,269756,2025-10-09,Agent 化软件开发方法论与技能框架,用 Agent 方式组织与落地软件开发
3,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,AI Agent,201751,227966,2025-07-22,可成长的通用 AI Agent,多场景自主任务执行与协作
4,mattpocock/skills,https://github.com/mattpocock/skills,AI Agent,198820,211256,2026-02-03,面向工程师的 Agent 技能合集,为编程 Agent 提供工程最佳实践技能
5,affaan-m/ECC,https://github.com/affaan-m/ECC,AI Agent,198372,239034,2026-01-18,Agent harness 性能优化系统,提升 Agent 编排效率与技能执行
6,anthropics/skills,https://github.com/anthropics/skills,AI Agent,128077,167251,2025-09-22,Anthropic 官方 Agent Skills 仓库,为 Claude 等 Agent 提供可复用技能
7,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,AI Agent,122119,140787,2025-10-13,一站式 AI 代理工作流工具,从前端到部署的代理任务编排
8,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,AI Agent,99396,99396,2026-06-12,让 Agent 像资深工程师般省 token 的技能,减少 Agent 冗余输出
9,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,AI Agent,95157,115034,2025-11-30,提供设计智能的 AI 技能,用 AI 生成产品级 UI/UX
10,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,AI Agent,78346,85185,2026-02-15,面向 AI 编程 Agent 的生产级工程技能,提升 Agent 代码质量
11,earendil-works/pi,https://github.com/earendil-works/pi,AI Agent,74600,86061,2025-08-09,统一 LLM API+Agent 循环+TUI 工具包,快速搭建 Agent 应用
12,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,AI Agent,73397,96870,2024-12-28,多 Agent LLM 金融交易框架,自动化量化交易决策
13,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,AI Agent,72034,90217,2025-08-31,跨会话持久化 Agent 记忆,让 Agent 记住历史上下文
14,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,AI Agent,70838,74633,2026-02-19,给 AI 提供审美品味的技能,避免 AI 生成「土味」设计
15,Panniantong/Agent-Reach,https://github.com/Panniantong/Agent-Reach,AI Agent,65495,69769,2026-02-24,让 Agent 读取全网内容的工具,给 Agent 联网阅读能力
16,paperclipai/paperclip,https://github.com/paperclipai/paperclip,AI Agent,64016,76110,2026-03-02,企业管理 Agent 的开源应用,编排与监控工作流 Agent
17,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,AI Agent,58909,71844,2025-09-07,《从零构建智能体》开源教程,系统学习 Agent 原理与实践
18,666ghj/MiroFish,https://github.com/666ghj/MiroFish,AI Agent,58699,70807,2025-11-26,通用群体智能引擎,多 Agent 协作预测与决策
19,bytedance/deer-flow,https://github.com/bytedance/deer-flow,AI Agent,56477,79615,2025-05-07,字节开源长程 SuperAgent 框架,研究/编码/创作自主任务
20,santifer/career-ops,https://github.com/santifer/career-ops,AI Agent,55287,63319,2026-04-04,开源 AI 求职工具,扫描职位/评估匹配/自动投递
21,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,AI Agent,54244,72153,2025-10-17,Claude 技能精选列表,找高质量 Agent 技能
22,ruvnet/ruflo,https://github.com/ruvnet/ruflo,AI Agent,53960,67510,2025-06-02,Agent 元编排框架（多 Agent 集群）,部署多 Agent 协作
23,mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,AI Agent,53160,57766,2026-01-23,跨平台研究话题的 Agent 技能,汇总近 30 天社媒趋势
