排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
1,openclaw/openclaw,https://github.com/openclaw/openclaw,AI Agent,238875,388135,2025-11-24,个人 AI Agent 操作系统,跨平台执行邮件/文件/自动化等日常任务
2,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,AI Agent,205418,205418,2026-08-13,DeepSeek 开源 Agent 插件化框架,用插件机制组织与扩展 AI Agent 能力
3,obra/superpowers,https://github.com/obra/superpowers,AI Agent,200652,279799,2025-10-09,Agent 化软件开发方法论与技能框架,用 Agent 方式组织与落地软件开发
4,mattpocock/skills,https://github.com/mattpocock/skills,AI Agent,197375,242204,2026-02-03,面向工程师的 Agent 技能合集,为编程 Agent 提供工程最佳实践技能
5,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,AI Agent,180286,238637,2025-07-22,可成长的通用 AI Agent,多场景自主任务执行与协作
6,affaan-m/ECC,https://github.com/affaan-m/ECC,AI Agent,172951,244851,2026-01-18,Agent harness 性能优化系统,提升 Agent 编排效率与技能执行
7,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,AI Agent,117626,117626,2026-06-12,让 Agent 像资深工程师般省 token 的技能,减少 Agent 冗余输出
8,anthropics/skills,https://github.com/anthropics/skills,AI Agent,113136,172705,2025-09-22,Anthropic 官方 Agent Skills 仓库,为 Claude 等 Agent 提供可复用技能
9,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,AI Agent,110603,149124,2025-10-13,一站式 AI 代理工作流工具,从前端到部署的代理任务编排
10,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,AI Agent,88199,123314,2025-11-30,专业级产品 UI/UX 设计智能技能,指导 AI 生成现代高质感、无模板味的高水准界面
11,earendil-works/pi,https://github.com/earendil-works/pi,AI Agent,75696,99658,2025-08-09,统一 LLM API+Agent 循环+TUI 工具包,快速搭建 Agent 应用
12,odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus,AI Agent,73300,86597,2026-05-31,自托管 AI 工作空间,在本地搭建可自主完成任务的 AI 工作区
