排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
1,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,AI Agent,231198,231198,2026-08-13,开源 AI Agent 与自动化工作流项目,DeepSeek Harness:一切都是一个插件。
2,mattpocock/skills,https://github.com/mattpocock/skills,AI Agent,24544,266450,2026-02-03,开源 AI Agent 与自动化工作流项目,真正工程师的技能。直接从我的。特工目录。
3,guillaumemeyer/watermarks-remover,https://github.com/guillaumemeyer/watermarks-remover,AI Agent,22449,22449,2026-08-11,开源 AI Agent 与自动化工作流项目,一个隐私第一的应用软件，从你拥有的内容中剥离AI的水印。
4,alibaba/open-code-review,https://github.com/alibaba/open-code-review,AI Agent,17552,38371,2026-05-18,开源 AI Agent 与自动化工作流项目,安全 快速 高效 在阿里巴巴规模上进行战斗测试 混合结构代码审查到。。。
5,cloudflare/security-audit-skill,https://github.com/cloudflare/security-audit-skill,AI Agent,15451,17994,2026-06-18,开源 AI Agent 与自动化工作流项目,多阶段安全审计的编码代理技能 由独立核实的机器。
6,yc-software/qm,https://github.com/yc-software/qm,AI Agent,15183,15183,2026-07-29,开源 AI Agent 与自动化工作流项目,多玩家特工为工作。
7,hypit-ai/hypit,https://github.com/hypit-ai/hypit,AI Agent,11874,11874,2026-07-29,开源 AI Agent 与自动化工作流项目,任何与AI代理的病毒视频都克隆。不只是一个脚本，整个工作流程:换脸，T。
8,trycompai/crm,https://github.com/trycompai/crm,AI Agent,10675,10675,2026-07-31,开源 AI Agent 与自动化工作流项目,Comp AI CRM是一个开源，CRM为AI代理设计。代理第一客户端。
9,obra/superpowers,https://github.com/obra/superpowers,AI Agent,10223,289264,2025-10-09,开源 AI Agent 与自动化工作流项目,一种有效的代理技能框架和软件开发方法。
10,deeplethe/utopia,https://github.com/deeplethe/utopia,AI Agent,9423,9423,2026-08-07,开源 AI Agent 与自动化工作流项目,世界首个开源企业世界模式。
11,unicity-aos/aos-ce,https://github.com/unicity-aos/aos-ce,AI Agent,8463,8463,2026-07-12,开源 AI Agent 与自动化工作流项目,AOS社区版:开放代理操作系统。
12,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,AI Agent,8330,182589,2024-04-15,开源 AI Agent 与自动化工作流项目,用于搜索、刮取和互动的网络数据 API。QQ。
13,dataelement/dsh-desktop,https://github.com/dataelement/dsh-desktop,AI Agent,8004,8004,2026-08-13,开源 AI Agent 与自动化工作流项目,DSHDesktop：DeepSeek Harness Desktop / DeepSeek Harness 桌面版。
14,yjh051108/dsh-routing-suite,https://github.com/yjh051108/dsh-routing-suite,AI Agent,7199,7199,2026-08-14,开源 AI Agent 与自动化工作流项目,dsh-routing-site——注射器+路由器-标准套件:先安装跑时注射器，再安装。
15,jakubkrehel/skills,https://github.com/jakubkrehel/skills,AI Agent,6940,6940,2026-07-10,开源 AI Agent 与自动化工作流项目,一批能帮助你建立大界面的代理技能。
16,sapientinc/PRAXIST,https://github.com/sapientinc/PRAXIST,AI Agent,6370,6370,2026-08-27,开源 AI Agent 与自动化工作流项目,可计量的计算机可执行研究的自主研究系统。
17,elder-plinius/T3MP3ST,https://github.com/elder-plinius/T3MP3ST,AI Agent,6196,6196,2026-07-02,开源 AI Agent 与自动化工作流项目,自主红队；多方特务攻击-安全元凶。
18,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,AI Agent,6185,124862,2024-03-11,开源 AI Agent 与自动化工作流项目,i AI QQ，根据主题或关键词一键生成高清短视频。Generate HD 短视频 从一个话题或关键词带有。
19,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,AI Agent,6133,107795,2024-12-28,开源 AI Agent 与自动化工作流项目,贸易代理:多种代理 LLM 金融交易框架。
20,truefoundry/trueforge,https://github.com/truefoundry/trueforge,AI Agent,5855,5855,2026-07-23,开源 AI Agent 与自动化工作流项目,开源代理牵引-将LLM转化为工作代理的运行时层。
21,oomol-lab/open-connector,https://github.com/oomol-lab/open-connector,AI Agent,5842,5842,2026-06-29,开源 AI Agent 与自动化工作流项目,通过SDK，CLI，MCP连接1500+SaaS供应商与AI代理的开源认证网关。
22,emilkowalski/skills,https://github.com/emilkowalski/skills,AI Agent,5372,39519,2026-03-16,开源 AI Agent 与自动化工作流项目,设计师和工程师的技能。
23,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,AI Agent,5219,82634,2024-10-13,开源 AI Agent 与自动化工作流项目,一个适应性的 Web scrating 框架，它处理从一个单一请求到一个完整的。。。
24,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,AI Agent,5008,153767,2025-10-13,开源 AI Agent 与自动化工作流项目,从前端巫师到Reddit社区忍者。
25,anthropics/skills,https://github.com/anthropics/skills,AI Agent,4922,177317,2025-09-22,开源 AI Agent 与自动化工作流项目,代理技能公共仓库。
26,Hisn00w/ASu-skills,https://github.com/Hisn00w/ASu-skills,AI Agent,4917,4917,2026-08-12,开源 AI Agent 与自动化工作流项目,🚀面向求职与开发场景的实用 AI Skills 集合，支持简历优化、岗位投递、面试准备与开发提效。
27,aipoch/open-science,https://github.com/aipoch/open-science,AI Agent,4788,4788,2026-07-03,开源 AI Agent 与自动化工作流项目,AIPOCH开放科学:一个用于科学代理工作流程的开源AI研究工作台和。
28,dmmulroy/anti-slop,https://github.com/dmmulroy/anti-slop,AI Agent,4672,4672,2026-08-12,开源 AI Agent 与自动化工作流项目,对拒绝低证据类型Script和JavaScript模式的 Oxlint 规则的看法。
29,TencentCloud/Octop,https://github.com/TencentCloud/Octop,AI Agent,4384,4384,2026-07-08,开源 AI Agent 与自动化工作流项目,一个更聪明，自我托管的AI助手——多用户，多代理。
30,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,AI Agent,4337,80089,2025-09-07,开源 AI Agent 与自动化工作流项目,📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程。
31,ApodexAI/FrontierAgent,https://github.com/ApodexAI/FrontierAgent,AI Agent,4214,4214,2026-08-22,开源 AI Agent 与自动化工作流项目,QQ Frontier Agent，我们的代理框架，开源并存——本土命令行TUI，Re。
32,virgiliojr94/book-to-skill,https://github.com/virgiliojr94/book-to-skill,AI Agent,4108,31629,2026-05-01,开源 AI Agent 与自动化工作流项目,将任何技术书PDF变成克洛德代码技能——准备学习，参考，使用whi。
33,davidondrej/skills,https://github.com/davidondrej/skills,AI Agent,4066,4066,2026-06-24,开源 AI Agent 与自动化工作流项目,获得David Ondrej的个人代理技能。
34,kirodotdev/KiroCrew,https://github.com/kirodotdev/KiroCrew,AI Agent,4054,4054,2026-07-16,开源 AI Agent 与自动化工作流项目,持续的发展工作空间能够自我改进并持续到一次会议之后。
35,browser-use/browser-use,https://github.com/browser-use/browser-use,AI Agent,3968,115555,2024-10-31,开源 AI Agent 与自动化工作流项目,使用浏览器的特工。
36,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,AI Agent,3938,139162,2024-04-29,开源 AI Agent 与自动化工作流项目,100+ AI代理，代理技能和RAG Apps - 免费和开放源代码。
37,xiaobright/dsh-anchored-standard,https://github.com/xiaobright/dsh-anchored-standard,AI Agent,3806,3806,2026-08-14,开源 AI Agent 与自动化工作流项目,二相 DeepSeek Harness 预设:最小相通的靴子陷阱，然后是完整的标准工具(Proje。
38,wang2122/sprix-sage-router,https://github.com/wang2122/sprix-sage-router,AI Agent,3802,3802,2026-08-18,开源 AI Agent 与自动化工作流项目,开源 AI Agent 与自动化工作流项目，具体主要用途请以项目官方仓库说明为准。
39,Human-Agent-Society/reef,https://github.com/Human-Agent-Society/reef,AI Agent,3780,3780,2026-08-31,开源 AI Agent 与自动化工作流项目,自我改进人员继续学习。
40,KKKKhazix/human-writing,https://github.com/KKKKhazix/human-writing,AI Agent,3755,3755,2026-08-05,开源 AI Agent 与自动化工作流项目,让 AI 写的中文读起来像一个具体的人在说话。通用创作与改稿 Skill，开箱即用。
41,omdsh-dev/DSH-better-sidebar,https://github.com/omdsh-dev/DSH-better-sidebar,AI Agent,3688,3688,2026-08-07,开源 AI Agent 与自动化工作流项目,开放的侧边栏底座，支持三方拓展注册新侧边栏页面。内置文件渲染编辑/终端/侧边对话/Git/子代理页面 ｜ Open sidebar foundation，supports third-。。。
42,zvec-ai/zvec-grep,https://github.com/zvec-ai/zvec-grep,AI Agent,3620,3620,2026-07-10,开源 AI Agent 与自动化工作流项目,本地第一搜索穿过你的工作空间，建造为人类和AI特工。
43,synthetic-sciences/openscience,https://github.com/synthetic-sciences/openscience,AI Agent,3616,3616,2026-07-03,开源 AI Agent 与自动化工作流项目,科学研究的开源AI工作台。
44,kvcache-ai/AgentENV,https://github.com/kvcache-ai/AgentENV,AI Agent,3500,3500,2026-07-23,开源 AI Agent 与自动化工作流项目,AgentENV(AENV)是规模化运行代理环境的分布式平台。
45,AminBlg/SimpleEnglish,https://github.com/AminBlg/SimpleEnglish,AI Agent,3449,3449,2026-07-21,开源 AI Agent 与自动化工作流项目,代理技能: 使 LLMS 在 ASD- STE100 中写入文件。
46,totec448-spec/chat-on-steroids,https://github.com/totec448-spec/chat-on-steroids,AI Agent,3408,3408,2026-08-22,开源 AI Agent 与自动化工作流项目,开源 AI Agent 与自动化工作流项目，具体主要用途请以项目官方仓库说明为准。
47,yanliudesign/mono-color-skill,https://github.com/yanliudesign/mono-color-skill,AI Agent,3184,3184,2026-08-19,开源 AI Agent 与自动化工作流项目,一克一克的编辑印刷图像技巧——取暖相纸，半通相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相相。
48,EvoMap/AutoResearch,https://github.com/EvoMap/AutoResearch,AI Agent,3164,3164,2026-08-15,开源 AI Agent 与自动化工作流项目,AI/ML研究代理人从思想到已准备好的证据。EvoMap开源项目。
49,openclaw/openclaw,https://github.com/openclaw/openclaw,AI Agent,3039,390160,2025-11-24,开源 AI Agent 与自动化工作流项目,真正做事情的人工智能。任何操作员。任何平台。龙虾道。
50,jub0t/Concat,https://github.com/jub0t/Concat,AI Agent,3025,3025,2026-08-25,开源 AI Agent 与自动化工作流项目,Free & Open-Source CapCut 替换(支持MCP)。
51,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,AI Agent,3019,88652,2024-03-13,开源 AI Agent 与自动化工作流项目,• OpenHands:AI驱动开发。
52,Jakubantalik/thinking-orbs,https://github.com/Jakubantalik/thinking-orbs,AI Agent,3006,3006,2026-07-21,开源 AI Agent 与自动化工作流项目,AI & 代理 UIs 的 Dotted Thought- orb 加载指示器，9 个调制类型，2 个大小，自动黑暗。。。
53,JustVugg/colibri,https://github.com/JustVugg/colibri,模型/推理,36596,36596,2026-07-01,开源大模型、训练或推理项目,在你已经拥有的硬件上运行前沿MOE模型——纯C，零分解，专家流出fro。。。
