排名,项目,GitHub链接,赛道,近三月增长,当前star,创建时间,是什么,主要用途
1,deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,AI Agent,223470,223470,2026-08-13,开源 AI Agent 与自动化工作流项目,DeepSeek Harness:一切都是一个插件。
2,guillaumemeyer/watermarks-remover,https://github.com/guillaumemeyer/watermarks-remover,AI Agent,21968,21968,2026-08-11,开源 AI Agent 与自动化工作流项目,一个隐私第一的应用软件，从你拥有的内容中剥离AI的水印。
3,mattpocock/skills,https://github.com/mattpocock/skills,AI Agent,19873,261751,2026-02-03,开源 AI Agent 与自动化工作流项目,真正工程师的技能。直接从我的。特工目录。
4,langchain-ai/openwiki,https://github.com/langchain-ai/openwiki,AI Agent,16472,16472,2026-06-22,开源 AI Agent 与自动化工作流项目,OpenWiki是一个为您的代码库写作和维护代理文档的CLI。
5,yc-software/qm,https://github.com/yc-software/qm,AI Agent,14941,14941,2026-07-29,开源 AI Agent 与自动化工作流项目,多玩家特工为工作。
6,trycompai/crm,https://github.com/trycompai/crm,AI Agent,10400,10400,2026-07-31,开源 AI Agent 与自动化工作流项目,Comp AI CRM是一个开源，CRM为AI代理设计。代理第一客户端。
7,unicity-aos/aos-ce,https://github.com/unicity-aos/aos-ce,AI Agent,8463,8463,2026-07-12,开源 AI Agent 与自动化工作流项目,AOS社区版:开放代理操作系统。
8,deeplethe/utopia,https://github.com/deeplethe/utopia,AI Agent,7443,7443,2026-08-07,开源 AI Agent 与自动化工作流项目,世界首个开源企业世界模式。
9,obra/superpowers,https://github.com/obra/superpowers,AI Agent,7275,286477,2025-10-09,开源 AI Agent 与自动化工作流项目,一种有效的代理技能框架和软件开发方法。
10,yjh051108/dsh-routing-suite,https://github.com/yjh051108/dsh-routing-suite,AI Agent,7179,7179,2026-08-14,开源 AI Agent 与自动化工作流项目,dsh-routing-site——注射器+路由器-标准套件:先安装跑时注射器，再安装。
11,sapientinc/PRAXIST,https://github.com/sapientinc/PRAXIST,AI Agent,6751,6751,2026-08-27,开源 AI Agent 与自动化工作流项目,可计量的计算机可执行研究的自主研究系统。
12,jakubkrehel/skills,https://github.com/jakubkrehel/skills,AI Agent,6496,6496,2026-07-10,开源 AI Agent 与自动化工作流项目,一批能帮助你建立大界面的代理技能。
13,dataelement/dsh-desktop,https://github.com/dataelement/dsh-desktop,AI Agent,6246,6246,2026-08-13,开源 AI Agent 与自动化工作流项目,DSHDesktop：DeepSeek Harness Desktop / DeepSeek Harness 桌面版。
14,elder-plinius/T3MP3ST,https://github.com/elder-plinius/T3MP3ST,AI Agent,6119,6119,2026-07-02,开源 AI Agent 与自动化工作流项目,自主红队；多方特务攻击-安全元凶。
